"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 24 20:56:43 UTC 2025","Sun Aug 24 20:56:44 UTC 2025","612","tests.admin_panel.categories","test_57_v2_update_category","","","","test_v2_update_category_invalid_id[abc]","Негативный тест: несуществующий или некорректный ID."
"passed","Sun Aug 24 20:59:44 UTC 2025","Sun Aug 24 20:59:46 UTC 2025","1234","tests.tickets","test_04_create_ticket","","","","test_create_ticket_success[client-attachments1-QuestionsAboutTheRewardSystemMarketingPlan]","Позитивный тест: создание тикета с разными темами и вложениями для клиента, партнера и админа"
"passed","Sun Aug 24 20:59:23 UTC 2025","Sun Aug 24 20:59:23 UTC 2025","409","tests.tickets","test_09_get_ticket_messages","","","","test_get_ticket_messages_no_auth","Негативный тест: запрос без токена (отсутствие авторизации)"
"skipped","Sun Aug 24 20:56:21 UTC 2025","Sun Aug 24 20:56:22 UTC 2025","673","tests.admin_panel","test_report_accruals","","","","test_report_accruals_full_payload",""
"passed","Sun Aug 24 21:01:32 UTC 2025","Sun Aug 24 21:01:33 UTC 2025","592","tests.tickets","test_04_create_ticket","","","","test_create_ticket_success[admin-attachments0-QuestionsAboutTheWorkOfTheStructureAndMentors]","Позитивный тест: создание тикета с разными темами и вложениями для клиента, партнера и админа"
"passed","Sun Aug 24 20:58:14 UTC 2025","Sun Aug 24 20:58:16 UTC 2025","1803","tests.cart","test_get_delivery_cost","","","","test_get_delivery_cost_success_partial_payload[partner-payload1-200]","Позитивный тест: успешное получение ТК при неполном наборе (город без региона, без ID и т.п.)"
"skipped","Sun Aug 24 20:58:52 UTC 2025","Sun Aug 24 20:58:52 UTC 2025","154","tests.register","test_01_register_form","","","","test_register_form_negative[admin-payload1-400]",""
"passed","Sun Aug 24 20:56:26 UTC 2025","Sun Aug 24 20:56:27 UTC 2025","1093","tests.admin_panel.categories","test_49_delete_category","","","","test_delete_category_forbidden[client]","Негативный тест: попытка удаления категории не-админом."
"passed","Sun Aug 24 20:56:33 UTC 2025","Sun Aug 24 20:56:34 UTC 2025","949","tests.admin_panel.categories","test_50_upload_category_images","","","","test_upload_category_images_invalid_format[invalid.txt-text/plain-400]","Негативный тест: загрузка изображений в неверном формате (например, .txt)."
"skipped","Sun Aug 24 20:56:23 UTC 2025","Sun Aug 24 20:56:23 UTC 2025","0","tests.account","test_family_agreement_create_three","","","","test_create_family_agreement_three_positive[partner-payload0]","Позитивные тесты на создание семейного соглашения при аннулировании второго партнера"
"passed","Sun Aug 24 20:56:17 UTC 2025","Sun Aug 24 20:56:17 UTC 2025","578","tests.PROJECT_FUND.initiatives","test_get_initiative_by_id","","","","test_get_initiative_by_invalid_id[-1-https://dev.ewahelps.com/api]",""
"skipped","Sun Aug 24 20:58:35 UTC 2025","Sun Aug 24 20:58:35 UTC 2025","0","tests.orders","test_create_order_by_delivery_address","","","","test_create_order_permissions[authorize_client-authorize_partner-404]","Тест: проверка прав доступа при создании заказа по сохраненному адресу"
"passed","Sun Aug 24 20:57:10 UTC 2025","Sun Aug 24 20:57:11 UTC 2025","1383","tests.admin_panel.items","test_update_item","","","","test_update_item_invalid_payload[payload3-400]","Негативный тест: обновление item с невалидным или неполным телом запроса."
"passed","Sun Aug 24 20:57:19 UTC 2025","Sun Aug 24 20:57:19 UTC 2025","919","tests.admin_panel.promo","test_74_update_promotion","","","","test_update_promotion_invalid_payload[payload0-400]","Негативный тест: обновление акции с невалидным или неполным телом запроса."
"passed","Sun Aug 24 20:58:52 UTC 2025","Sun Aug 24 20:58:52 UTC 2025","436","tests.one_c","test_create_1c_stock","","","","test_post_bad_request_or_unprocessable[<lambda>7]",""
"passed","Sun Aug 24 20:59:04 UTC 2025","Sun Aug 24 20:59:05 UTC 2025","418","tests.cart","test_get_delivery_cost","","","","test_get_delivery_cost_unauthorized","Негативный тест: запрос без авторизации"
"passed","Sun Aug 24 20:57:31 UTC 2025","Sun Aug 24 20:57:37 UTC 2025","5921","tests.admin_panel.promo","test_74_update_promotion","","","","test_update_promotion_invalid_payload[payload10-422]","Негативный тест: обновление акции с невалидным или неполным телом запроса."
"passed","Sun Aug 24 20:58:58 UTC 2025","Sun Aug 24 20:58:59 UTC 2025","147","tests.stock","test_get_stock_by_id","","","","test_get_stock_by_id[partner]","Запрос склада по ID"
"passed","Sun Aug 24 21:01:57 UTC 2025","Sun Aug 24 21:01:59 UTC 2025","1236","tests.tickets","test_04_create_ticket","","","","test_create_ticket_success[admin-attachments1-ChangePersonalData]","Позитивный тест: создание тикета с разными темами и вложениями для клиента, партнера и админа"
"passed","Sun Aug 24 20:56:41 UTC 2025","Sun Aug 24 20:56:42 UTC 2025","598","tests.admin_panel.categories","test_56_v2_create_category","","","","test_v2_create_category_invalid_payload[payload4-422]","Негативный тест: создание категории с невалидным телом запроса."
"skipped","Sun Aug 24 20:56:44 UTC 2025","Sun Aug 24 20:56:44 UTC 2025","0","tests.admin_panel.products","test_01_create_product_group","","","","test_create_product_group_with_duplicate_items","Негативный тест: попытка создать продукт группы с одинаковыми items."
"skipped","Sun Aug 24 20:59:22 UTC 2025","Sun Aug 24 20:59:23 UTC 2025","658","tests.tickets","test_09_get_ticket_messages","","","","test_get_ticket_messages_invalid_id","Негативный тест: запрос с несуществующим ID тикета"
"passed","Sun Aug 24 21:00:31 UTC 2025","Sun Aug 24 21:00:31 UTC 2025","171","tests.tickets","test_01_get_tickets","","","","test_get_tickets_success[filter2-sort1-search2-pagination0-admin]","Позитивный тест: получение списка тикетов с разными комбинациями параметров"
"skipped","Sun Aug 24 20:58:54 UTC 2025","Sun Aug 24 20:58:54 UTC 2025","0","tests.stock","test_create_stock","","","","test_create_stock_with_empty_string_log_if_not_200[city.name]",""
"skipped","Sun Aug 24 20:58:59 UTC 2025","Sun Aug 24 20:59:00 UTC 2025","149","tests.statistic","test_team_go","","","","test_get_team_go_statistic_negative[payload1-client]","Негативный тест: ошибка при получении статистики по команде с невалидным телом запроса"
"skipped","Sun Aug 24 20:58:54 UTC 2025","Sun Aug 24 20:58:54 UTC 2025","0","tests.stock","test_create_stock","","","","test_create_stock_with_empty_string_log_if_not_200[address.address_full]",""
"skipped","Sun Aug 24 20:56:21 UTC 2025","Sun Aug 24 20:56:21 UTC 2025","0","tests.account","test_funds_transfer_send","","","","test_send_funds_transfer_positive[admin-payload0]","Позитивные тесты на перевод/вывод средств по visibleId"
"passed","Sun Aug 24 20:57:50 UTC 2025","Sun Aug 24 20:57:55 UTC 2025","5062","tests.catalog","test_delete_admin_product_translation","","","","test_delete_admin_product_translation_success","Удаление одного из переводов продукта (успешный сценарий)."
"passed","Sun Aug 24 20:56:45 UTC 2025","Sun Aug 24 20:56:46 UTC 2025","622","tests.admin_panel.categories","test_56_v2_create_category","","","","test_v2_create_category_invalid_payload[payload6-422]","Негативный тест: создание категории с невалидным телом запроса."
"passed","Sun Aug 24 20:56:32 UTC 2025","Sun Aug 24 20:56:33 UTC 2025","428","tests.admin_panel.categories","test_57_v2_update_category","","","","test_v2_update_category_unauthorized","Негативный тест: попытка обновления категории без авторизации."
"passed","Sun Aug 24 20:58:06 UTC 2025","Sun Aug 24 20:58:06 UTC 2025","304","tests.cart","test_get_delivery_cost","","","","test_get_delivery_cost_success_partial_payload[client-payload5-400]","Позитивный тест: успешное получение ТК при неполном наборе (город без региона, без ID и т.п.)"
"passed","Sun Aug 24 20:59:51 UTC 2025","Sun Aug 24 20:59:51 UTC 2025","169","tests.tickets","test_01_get_tickets","","","","test_get_tickets_success[filter1-sort0-search2-pagination0-client]","Позитивный тест: получение списка тикетов с разными комбинациями параметров"
"passed","Sun Aug 24 20:58:05 UTC 2025","Sun Aug 24 20:58:06 UTC 2025","426","tests.cart","test_get_delivery_cost","","","","test_get_delivery_cost_success_partial_payload[client-payload4-400]","Позитивный тест: успешное получение ТК при неполном наборе (город без региона, без ID и т.п.)"
"skipped","Sun Aug 24 20:56:17 UTC 2025","Sun Aug 24 20:56:17 UTC 2025","0","tests.account","test_0_marathon","","","","test_create_product_brand_invalid_payload[params3-400-admin]",""
