"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Apr 14 00:14:06 UTC 2025","Mon Apr 14 00:14:06 UTC 2025","448","tests.orders","test_group_order_change_country","","","","test_change_country_updates_sub_orders","Интеграционный тест: проверка обновления страны у всех привязанных заказов"
"passed","Mon Apr 14 00:12:59 UTC 2025","Mon Apr 14 00:12:59 UTC 2025","157","tests.auth","test_01_check_version","","","","test_check_version[Frontend-3.0.0-200]","Тест проверяет API /check_version для разных платформ и версий."
"broken","Mon Apr 14 00:13:33 UTC 2025","Mon Apr 14 00:13:34 UTC 2025","155","tests.delivery","test_01_save_delivery_address","","","","test_create_two_identical_addresses","Тест на невозможность создать два полностью одинаковых адреса"
"passed","Mon Apr 14 00:15:12 UTC 2025","Mon Apr 14 00:15:12 UTC 2025","166","tests.tickets","test_01_get_tickets","","","","test_get_tickets_invalid_pagination[partner-invalid_pagination1-partner]","Негативный тест: передаем некорректные значения в pagination"
"skipped","Mon Apr 14 00:12:55 UTC 2025","Mon Apr 14 00:12:55 UTC 2025","0","tests.account","test_history","","","","test_get_history_positive[authorize_admin-payload1]","Позитивные тесты на получение истории аккаунта"
"skipped","Mon Apr 14 00:12:55 UTC 2025","Mon Apr 14 00:12:55 UTC 2025","0","tests.account","test_funds_transfer_send","","","","test_send_funds_transfer_positive[authorize_partner-payload0]","Позитивные тесты на перевод/вывод средств по visibleId"
"skipped","Mon Apr 14 00:12:55 UTC 2025","Mon Apr 14 00:12:55 UTC 2025","0","tests.account","test_delete_avatar","","","","test_delete_avatar_positive[authorize_partner]","Позитивные тесты на удаление аватара"
"passed","Mon Apr 14 00:13:57 UTC 2025","Mon Apr 14 00:13:58 UTC 2025","479","tests.orders","test_create_order_by_delivery_address","","","","test_create_order_invalid_data[invalid_payload1-authorize_client]","Негативные тесты: создание заказа с некорректными данными"
"skipped","Mon Apr 14 00:12:55 UTC 2025","Mon Apr 14 00:12:55 UTC 2025","0","tests.account","test_funds_transfer_send","","","","test_send_funds_transfer_positive[authorize_client-payload0]","Позитивные тесты на перевод/вывод средств по visibleId"
"passed","Mon Apr 14 00:16:37 UTC 2025","Mon Apr 14 00:16:38 UTC 2025","415","tests.tickets","test_04_create_ticket","","","","test_create_ticket_success[authorize_admin-attachments2-ReceivingDefectiveProductsOrShortage]","Позитивный тест: создание тикета с разными темами и вложениями для клиента, партнера и админа"
"skipped","Mon Apr 14 00:16:46 UTC 2025","Mon Apr 14 00:16:46 UTC 2025","200","tests.tickets","test_04_create_ticket","","","","test_create_ticket_invalid_message[client-None]","Негативный тест: создание тикета без сообщения"
"skipped","Mon Apr 14 00:13:34 UTC 2025","Mon Apr 14 00:13:36 UTC 2025","2181","tests.delivery","test_02_get_delivery_address","","","","test_get_delivery_addresses_permissions[authorize_client]","Тест: проверка получения адресов"
"passed","Mon Apr 14 00:13:27 UTC 2025","Mon Apr 14 00:13:28 UTC 2025","1344","tests.delivery","test_01_save_delivery_address","","","","test_save_delivery_address_positive[authorize_admin-payload5]","Позитивные тесты на сохранение адреса доставки"
"passed","Mon Apr 14 00:14:58 UTC 2025","Mon Apr 14 00:14:59 UTC 2025","401","tests.tickets","test_01_get_tickets","","","","test_get_tickets_success[filter2-sort0-search2-pagination1-authorize_admin]","Позитивный тест: получение списка тикетов с разными комбинациями параметров"
"passed","Mon Apr 14 00:14:31 UTC 2025","Mon Apr 14 00:14:31 UTC 2025","406","tests.tickets","test_01_get_tickets","","","","test_get_tickets_success[filter0-sort1-search2-pagination0-authorize_admin]","Позитивный тест: получение списка тикетов с разными комбинациями параметров"
"passed","Mon Apr 14 00:13:42 UTC 2025","Mon Apr 14 00:13:43 UTC 2025","447","tests.delivery","test_02_get_delivery_address","","","","test_get_delivery_addresses_invalid_pagination[invalid_pagination2-authorize_partner]","Негативные тесты: передача некорректных параметров пагинации"
"passed","Mon Apr 14 00:15:43 UTC 2025","Mon Apr 14 00:15:43 UTC 2025","485","tests.tickets","test_04_create_ticket","","","","test_create_ticket_success[authorize_client-attachments0-ReceivingDefectiveProducts]","Позитивный тест: создание тикета с разными темами и вложениями для клиента, партнера и админа"
"passed","Mon Apr 14 00:16:24 UTC 2025","Mon Apr 14 00:16:25 UTC 2025","417","tests.tickets","test_04_create_ticket","","","","test_create_ticket_success[authorize_admin-attachments0-ChangePersonalData]","Позитивный тест: создание тикета с разными темами и вложениями для клиента, партнера и админа"
"passed","Mon Apr 14 00:14:10 UTC 2025","Mon Apr 14 00:14:10 UTC 2025","463","tests.register","test_02_register_partner","","","","test_register_partner_negative[payload2-400]","Тест: негативные тесты для регистрации партнера вручную"
"passed","Mon Apr 14 00:13:00 UTC 2025","Mon Apr 14 00:13:01 UTC 2025","176","tests.auth","test_02_login","","","","test_login[1398--401-False]","Тест авторизации по логину/паролю с различными входными данными, включая админа"
"broken","Mon Apr 14 00:13:47 UTC 2025","Mon Apr 14 00:13:47 UTC 2025","157","tests.delivery","test_03_delete_delivery_address","","","","test_delete_delivery_address_permissions[authorize_client-authorize_admin-True]","Тест: проверка прав доступа при удалении адресов"
"skipped","Mon Apr 14 00:12:55 UTC 2025","Mon Apr 14 00:12:55 UTC 2025","0","tests.account","test_funds_transfer_list","","","","test_get_funds_transfer_list_positive[authorize_admin-payload0]","Позитивные тесты на получение истории переводов/выводов средств"
"skipped","Mon Apr 14 00:14:08 UTC 2025","Mon Apr 14 00:14:08 UTC 2025","187","tests.register","test_01_register_form","","","","test_register_form_negative[payload3-400]",""
"skipped","Mon Apr 14 00:14:15 UTC 2025","Mon Apr 14 00:14:15 UTC 2025","0","tests.statistic","test_0_dashboard","","","","test_get_dashboard_statistic[authorize_admin]","Позитивный тест: получение статистики для дашборда ""прирост или убыль в числовом виде"
"passed","Mon Apr 14 00:13:08 UTC 2025","Mon Apr 14 00:13:08 UTC 2025","470","tests.auth","test_05_logout","","","","test_logout_success[authorize_partner]","Тест разлогинивания с валидным токеном (клиент, партнёр, админ)"
"skipped","Mon Apr 14 00:14:06 UTC 2025","Mon Apr 14 00:14:06 UTC 2025","0","tests.orders","test_orders_v2_pay","","","","test_orders_v2_pay_invalid_data[client-invalid_payload4-500]","Негативный тест: отправка некорректных данных"
"skipped","Mon Apr 14 00:12:56 UTC 2025","Mon Apr 14 00:12:56 UTC 2025","0","tests.account","test_update_default_stock","","","","test_update_default_stock_positive[authorize_partner-payload0]","Позитивные тесты на изменение дефолтного склада"
"skipped","Mon Apr 14 00:12:55 UTC 2025","Mon Apr 14 00:12:55 UTC 2025","0","tests.account","test_family_agreement_update_status","","","","test_update_family_agreement_status_positive[authorize_partner-payload0]","Позитивные тесты на изменение статуса семейного соглашения"
"passed","Mon Apr 14 00:15:24 UTC 2025","Mon Apr 14 00:15:24 UTC 2025","168","tests.tickets","test_01_get_tickets","","","","test_get_tickets_invalid_filter[partner-invalid_filter2-400-partner]","Негативный тест: передаем некорректные параметры фильтрации"
"passed","Mon Apr 14 00:13:52 UTC 2025","Mon Apr 14 00:13:53 UTC 2025","1271","tests.integration","test_auth_01_full_auth_cycle","","","","test_full_auth_flow[authorize_client]","Сценарный тест: полный цикл авторизации и выхода"
"passed","Mon Apr 14 00:17:30 UTC 2025","Mon Apr 14 00:17:30 UTC 2025","168","tests.tickets","test_12_delete_message","","","","test_delete_ticket_message_negative[invalid-500]","Негативные тесты: удаление с некорректными данными"
"skipped","Mon Apr 14 00:13:14 UTC 2025","Mon Apr 14 00:13:15 UTC 2025","1172","tests.delivery","test_01_save_delivery_address","","","","test_save_delivery_address_positive[authorize_client-payload3]","Позитивные тесты на сохранение адреса доставки"
"passed","Mon Apr 14 00:13:41 UTC 2025","Mon Apr 14 00:13:42 UTC 2025","376","tests.delivery","test_02_get_delivery_address","","","","test_get_delivery_addresses_invalid_pagination[invalid_pagination1-authorize_admin]","Негативные тесты: передача некорректных параметров пагинации"
"passed","Mon Apr 14 00:16:39 UTC 2025","Mon Apr 14 00:16:39 UTC 2025","455","tests.tickets","test_04_create_ticket","","","","test_create_ticket_invalid_request_type[authorize_client-invalid_request_type-400]","Негативный тест: попытка создания тикета с неверным типом request_type"
"passed","Mon Apr 14 00:15:41 UTC 2025","Mon Apr 14 00:15:42 UTC 2025","489","tests.tickets","test_04_create_ticket","","","","test_create_ticket_success[authorize_client-attachments0-OtherQuestions]","Позитивный тест: создание тикета с разными темами и вложениями для клиента, партнера и админа"
"passed","Mon Apr 14 00:12:55 UTC 2025","Mon Apr 14 00:12:55 UTC 2025","715","tests.account","test_0_users_by_lo_rating","","","","test_get_users_by_lo_rating_positive[authorize_admin]","Позитивные тесты на получение рейтинга продавцов по личному объему"
"skipped","Mon Apr 14 00:13:33 UTC 2025","Mon Apr 14 00:13:33 UTC 2025","625","tests.delivery","test_01_save_delivery_address","","","","test_create_two_addresses_with_different_delivery","Тест на создание двух адресов с одинаковыми данными, кроме street в delivery"
"skipped","Mon Apr 14 00:12:55 UTC 2025","Mon Apr 14 00:12:55 UTC 2025","0","tests.account","test_family_agreement_create_one","","","","test_create_family_agreement_one_positive[authorize_admin-payload0]","Позитивные тесты на создание семейного соглашения при отсутствующем втором партнере"
"passed","Mon Apr 14 00:17:06 UTC 2025","Mon Apr 14 00:17:07 UTC 2025","1234","tests.tickets","test_09_get_ticket_messages","","","","test_get_ticket_messages_positive[authorize_admin]","Позитивный тест: успешное получение списка сообщений тикета"
