"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Apr 14 01:23:31 UTC 2026","Tue Apr 14 01:23:31 UTC 2026","571","tests.delivery","test_get_kgpost_offices","","","","test_get_kgpost_offices_success[208110-partner]",""
"passed","Tue Apr 14 00:59:41 UTC 2026","Tue Apr 14 00:59:42 UTC 2026","765","tests.account","test_update_utc_offset","","","","test_update_utc_offset_valid_values[-00-expected3-partner]",""
"failed","Tue Apr 14 01:26:11 UTC 2026","Tue Apr 14 01:26:12 UTC 2026","570","tests.auth","test_05_logout","","","","test_logout_success[client]","Тест разлогинивания с валидным токеном (клиент, партнёр, админ)"
"passed","Tue Apr 14 01:19:13 UTC 2026","Tue Apr 14 01:19:13 UTC 2026","794","tests.admin_panel","test_03_support_delete_user","","","","test_not_found_returns_404","
    Корректный id, но пользователя нет — 404.
    "
"passed","Tue Apr 14 01:25:40 UTC 2026","Tue Apr 14 01:25:40 UTC 2026","599","tests.account","test_history_group_volumes_admin","","","","test_group_volumes_history_admin_missing_required_fields_validation[admin]",""
"passed","Tue Apr 14 01:05:13 UTC 2026","Tue Apr 14 01:05:16 UTC 2026","3224","tests.cart","test_20_cart_recommended_products","","","","test_cart_recommended_products_with_item_success[client]",""
"broken","Tue Apr 14 01:16:15 UTC 2026","Tue Apr 14 01:16:15 UTC 2026","0","tests.one_c","test_stock_delivery_methods","","","","test_1c_stock_delivery_methods_replaces_previous_whitelist",""
"passed","Tue Apr 14 01:15:55 UTC 2026","Tue Apr 14 01:15:55 UTC 2026","791","tests.admin_panel.slides","test_0_slides_sort","","","","test_slides_sort_invalid_id[None]","Негативный тест: невалидный path parameter."
"skipped","Tue Apr 14 00:58:19 UTC 2026","Tue Apr 14 00:58:19 UTC 2026","0","tests.tickets","test_01_get_tickets","","","","test_get_tickets_success[filter2-sort1-search2-pagination1-partner]","Позитивный тест: получение списка тикетов с разными комбинациями параметров"
"passed","Tue Apr 14 01:26:23 UTC 2026","Tue Apr 14 01:26:23 UTC 2026","554","tests.one_c","test_create_1c_stock","","","","test_create_1c_stock_forbidden_without_secret_key",""
"passed","Tue Apr 14 01:27:08 UTC 2026","Tue Apr 14 01:27:09 UTC 2026","571","tests.catalog","test_get_currencies","","","","test_get_currencies_success[admin]","
    Позитивный тест: успешное получение списка валют
    "
"passed","Tue Apr 14 01:11:20 UTC 2026","Tue Apr 14 01:11:20 UTC 2026","782","tests.admin_panel","test_04_generate_support_token","","","","test_invalid_user_id_for_token_returns_client_error[-1]",""
"skipped","Tue Apr 14 00:58:19 UTC 2026","Tue Apr 14 00:58:19 UTC 2026","0","tests.tickets","test_01_get_tickets","","","","test_get_tickets_success[filter0-sort0-search1-pagination1-client]","Позитивный тест: получение списка тикетов с разными комбинациями параметров"
"passed","Tue Apr 14 00:59:43 UTC 2026","Tue Apr 14 00:59:43 UTC 2026","557","tests.account","test_update_utc_offset","","","","test_update_utc_offset_unauthorized",""
"skipped","Tue Apr 14 01:28:36 UTC 2026","Tue Apr 14 01:28:36 UTC 2026","0","tests.PROJECT_EDUCATION.orders","test_get_order_by_id","","","","test_get_order_by_id__unauthorized__401_403",""
"broken","Tue Apr 14 01:14:47 UTC 2026","Tue Apr 14 01:14:47 UTC 2026","0","tests.admin_panel.products","test_product_files_update","","","","test_update_null_values_behavior",""
"passed","Tue Apr 14 01:26:16 UTC 2026","Tue Apr 14 01:26:17 UTC 2026","587","tests.cart","test_15_cart_update_country","","","","test_update_country_unauthorized","Негатив: вызов без авторизации/корзины"
"skipped","Tue Apr 14 01:25:37 UTC 2026","Tue Apr 14 01:25:37 UTC 2026","0","tests.stock","test_update_stock","","","","test_update_stock_success",""
